Plane 79: Normal=<Point.Point object at 0x73770778c110>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 120: Normal=<Point.Point object at 0x73770778fd70>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 80: Normal=<Point.Point object at 0x73770778c200>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 121: Normal=<Point.Point object at 0x73770778fef0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 81: Normal=<Point.Point object at 0x73770778c380>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 122: Normal=<Point.Point object at 0x7377077980b0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 82: Normal=<Point.Point object at 0x73770778c500>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 123: Normal=<Point.Point object at 0x737707798230>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 83: Normal=<Point.Point object at 0x73770778c680>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 124: Normal=<Point.Point object at 0x7377077983b0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
